Confabulario|Arreola, Juan José|Fondo de Cultura Económica|1961|Antología
Obras Completas|Azuela, Mariano|Fondo de Cultura Económica|1916|Antología
El Porvenir de mi Pasado|Benedetti, Mario|Punto de Lectura|2003|Antología
Llamadas telefónicas|Bolaño, Roberto|Anagrama|1997|Antología
Obras Maestras|Camus, Albert|Editores Mexicanos Unidos|1942|Antología
Música para camaleones|Capote, Truman|Bruguera|1980|Antología
Novelas Ejemplares|Cervantes, Miguel de|Porrúa|1590|Antología
The Sherlock Holmes Mysteries|Conan Doyle, Sir Arthur|Signet|1887|Antología
Ahí y ahora: los relatos|Cortázar, Julio|Alianza|1985|Antología
Azul… Cantos de vida y esperanza|Darío, Rubén|Ateneo-México|1888|Antología
El Jugador - Crimen y Castigo|Dostoyevski, Fedor|Credsa|1866|Antología
Antología de Cuentos|Estrella Gutierrez, Fermín|Fondo de Cultura Económica|1970|Antología
Obras Maestras|Flaubert, Gustave|Credsa|1856|Antología
Los Funerales de la Mamá Grande|García Márquez, Gabriel|Diana|1962|Antología
Les Funérailles de la Grande Mémé - Los Funerales de la Mamá Grande|García Márquez, Gabriel|Grasset|1962|Antología
La ley de Herodes|Ibargüengoitia, Jorge|Joaquin Mortiz|1967|Antología
La Metamorfosis - Informe para una Academia|Kafka, Franz|Edimat|1915|Antología
El castillo - La muralla china|Kafka, Franz|Promociones Editoriales Mexicanas|1926|Antología
Las Crónicas de Narnia - Obra Completa|Lewis, C. S.|Destino|1950|Antología
El Cuento Hispanoamericano|Menton, Seymour|Fondo de Cultura Económica|1964|Antología
Lecturas Literarias|Nervo, Amado|Patria|1939|Antología
Para nacer he nacido|Neruda, Pablo|Bruguera|1978|Antología
El principio del placer|Pacheco, José Emilio|Era|1972|Antología
Complete Stories and Poems|Poe, Edgar Allan|Doubleday|1827|Antología
Dormir en Tierra|Revueltas, José|Era|1960|Antología
La Cena y Otras Historias|Reyes, Alfonso|Fondo de Cultura Económica|1963|Antología
La Felicidad es un Arma Caliente|Ruiz Velazco, Victor|Animal de Invierno|2013|Antología
Un Reino Lejano|Silva y Aceves, Mariano|Fondo de Cultura Económica|1987|Antología
Cuentos Escogidos|Tolstoi, León|Porrúa|1989|Antología
El Libro de la Imaginación|Valades, Edmundo|Fondo de Cultura Económica|1976|Antología
Cuentos Escogidos|Voltaire|Bruguera|1720|Antología
Bob Dylan 2|Antolín, Mariano|Rato|1975|Biografía
Marco Polo|Collis, Maurice|Fondo de Cultura Económica|1950|Biografía
Vivir para contarla|García Márquez, Gabriel|Diana|2002|Biografía
Roosevelt, the Soldier of Freedom|McGregor Burns, James|Harcourt Brace Jovanovich|1970|Biografía
Santa Anna: el dictador resplandeciente|Muñoz, Rafael F.|Fondo de Cultura Económica|1936|Biografía
Fouché: El Genio Tenebroso|Zweig, Stefan|Porrúa|1929|Biografía
María Antonieta|Zweig, Stefan|Drake|1932|Biografía
A ninguna de las tres - El torneo - Ana Bolena - Hermán o la vuelta del cruzado|Calderón, Fernando|Porrúa|2004|Drama
Entremeses|Cervantes, Miguel de|Espasa-Calpe|1615|Drama
El Sí de las Niñas - La Comedia Nueva o el Café|Fernandez de Moratín, Leandro|Editores Mexicanos Unidos|1806|Drama
Fausto|Goethe, J. W.|Cátedra|1832|Drama
Conversaciones Imaginarias|Landor, Walter Savage|Catedra|1824|Drama
La Celestina|Rojas, Fernando de|Porrúa|1499|Drama
Hamlet - Penas por amor perdidas - Los dos hidalgos de Verona - Sueño de una noche de verano - Romeo y Julieta|Shakespeare, William|Porrúa|1597|Drama
Eichmann y el Holocausto|Arendt, Hannah|Taurus|1963|Expositivo
Administración de Recursos Humanos|Arias Galicia, Fernando|Trillas|1973|Expositivo
El Mundo Mítico de Gabriel García Márquez|Arnau, Carmen|Península|1971|Expositivo
Las Moradas del Castillo Interior|Ávila, Teresa de|Bruguera|1588|Expositivo
101 Stories of the Great Ballets|Balanchine, George and Francis Mason|Doubleday|1975|Expositivo
Configuraciones y Significaciones|Bañuelos Ávila, Irma Angélica, et al|Acento|2014|Expositivo
El segundo sexo|Beauvoir, Simone de|DeBolsillo|1949|Expositivo
El proceso de comunicación|Berlo, David K.|El Ateneo|1960|Expositivo
Bescherelle college|Bortolussi, Maríe-Pierre|Itatier|2007|Expositivo
Señas Particulares: Escritora|Bradu, Fabienne|Fondo de Cultura Económica|1987|Expositivo
Guía de Estudio Efectivo|Brown, William F.|Trillas|1970|Expositivo
Protagonistas de la literatura mexicana|Carballo, Emmanuel|Ediciones del Ermitaño|1986|Expositivo
Mujer que sabe latín|Castellanos, Rosario|Fondo de Cultura Económica|1984|Expositivo
Venciendo la Resistencia al Cambio|Coch, Lester, et al.|Trillas|1953|Expositivo
La Generación Beat|Cook, Bruce|Ariel|1971|Expositivo
De la gramatología|Derrida, Jacques|Siglo Veintiuno|1967|Expositivo
El Discurso del Método|Descartes, René|Bruguera|1637|Expositivo
Obra Abierta|Eco, Umberto|Ariel|1962|Expositivo
Apocalípticos e Integrados|Eco, Umberto|TusQuets|1968|Expositivo
La estructura ausente|Eco, Umberto|DeBolsillo|1968|Expositivo
Cómo se hace una tesis|Eco, Umberto|Gedisa|1977|Expositivo
Cuaderno de escritura|Elizondo, Salvador|Fondo de Cultura Económica|1969|Expositivo
El Papel del Trabajo en la Transformación del Mono en Hombre|Engels, Federico|Cultura Popular|1988|Expositivo
Educación e ideología en el México Antiguo|Escalante, Pablo|El Caballito|1985|Expositivo
Paulo Freire y la Educación Liberadora|Escobar G., Miguel|Ediciones el Caballito|1985|Expositivo
La Educación del Hombre|Froebel, Federico|D. Appleton y Compañía|1885|Expositivo
El Arte de Amar|Fromm, Enrich|Paidós|1956|Expositivo
Lecciones Preliminares de Filosofía|García Morente, Manuel|Diana|1954|Expositivo
Lógica Formal y Dialéctica|García Lopez, J. Jesus|J. Jesus García Lopez|1993|Expositivo
Filosofía y Ciencia Trascendental|García Lopez, J. Jesus|J. Jesus García Lopez|1994|Expositivo
Crítica de la razón pura|Kant, Immanuel|Losada|1781|Expositivo
Fundamentación de la Metafísica de las Costumbres - Crítica de la Razón Práctica - La Paz Perpetua|Kant, Immanuel|Porrúa|1785|Expositivo
La Presidencia Imperial|Krauze, Enrique|Tusquets|1997|Expositivo
Leer y escribir en la escuela|Lerner, Delia|SEP|2001|Expositivo
Abuelas queridas, ¡que vivan sus derechos!|Loaeza, Guadalupe, et al.|Endira|2012|Expositivo
De Escritores, Poetas y Locos|Montes de Oca Sicilia, Maria del Pilar, et al.|Lectorum|2009|Expositivo
México ante Dios|Moreno, Francisco Martín|Alfaguara|2006|Expositivo
La amenaza del Japón a las Américas|Naft, Stephen|División de Radio de la Oficina del Coordinador e Asuntos Inter-americanos|1943|Expositivo
Summerhill|Neill, A. S.|Fondo de Cultura Económica|1960|Expositivo
La rebelión de las masas|Ortega y Gasset, José|Espasa-Calpe|1937|Expositivo
El chino y el maya: estudio de relación y de creación|Ortega Villaseñor, Humberto|Universidad de Guadalajara|2008|Expositivo
El País - Libro de Estilo|País, El|El País|2007|Expositivo
El Laberinto de la soledad|Paz, Octavio|Fondo de Cultura Económica|1950|Expositivo
Tiempo Nublado|Paz, Octavio|Seix Barral|1983|Expositivo
Historia de México|Peña Razo, Juan|Universidad de Guadalajara|1975|Expositivo
Cuahutémoc - Vida y muerte de una cultura|Pérez Martínez, Héctor|Espasa-Calpe|1948|Expositivo
Seis Estudios de Psicología|Piaget, Jean|Seix Barral|1964|Expositivo
Los Pobres en la Prosa Mexicana|Pogolotti, Marcelo|Diogenes|1978|Expositivo
El perfil del hombre y la cultura en México|Ramos, Samuel|Espasa Calpe|1934|Expositivo
La escuela rural|Ramírez Michel, Rafael|SEP|1981|Expositivo
Fausto, el hombre|Reuter, Jas|Fondo de Cultura Económica|1985|Expositivo
La Experiencia Literaria y Otros Ensayos|Reyes, Alfonso|Fundación Santander|1955|Expositivo
Visión de Anahuac y otros ensayos|Reyes, Alfonso|Fondo de Cultura Económica|1983|Expositivo
Prototipos Textuales|Reyes, José|Acento|2013|Expositivo
Manual de Juegos|Rinderknecht, Patricia, et al.|Bonum|1976|Expositivo
Psicotecnica Pedagógica - Teoria y Práctica|Rodriguez Riveras, Victor Matias|Porrúa|1972|Expositivo
El Contrato Social|Rousseau, Jean-Jacques|Tomo|1762|Expositivo
Conocimiento y Causa|Russell, Bertrand|Paidós|1910|Expositivo
Los caminos de la libertad|Russell, Bertrand|Orbis|1918|Expositivo
La Perpectiva Científica|Russell, Bertrand|Sarpe|1949|Expositivo
El existencialismo es un humanismo|Sartre, Jean Paul|Quinto Sol|1945|Expositivo
Ética para amador|Savater, Fernando|Ariel|1991|Expositivo
La riqueza de las naciones|Smith, Adam|Alianza|1776|Expositivo
Como hacer una tesis|Taborga, Huáscar|Grijalbo|1980|Expositivo
Historia de México|Toro, Alfonso|Patria|1929|Expositivo
Curso Elemental de Psicología|Velázquez, José M.|Cia. General de Editores|1977|Expositivo
The Outline of History|Wells, H. G.|Garden City Publishing|1920|Expositivo
La Imaginación Sociológica|Wright Mills, C.|Fondo de Cultura Económica|1959|Expositivo
Un Placer Fugaz: Correspondencia|Capote, Truman|DeBolsillo|2004|Epistolar
Cartas a Theo|Gogh, Vincent van|Tomo|1914|Epistolar
Lettres Retrouvés|Proust, Marcel|Plon|1966|Epistolar
Little Women|Alcott, Louisa May|Aladdin|1868|Narrativa
El Sol Desnudo|Asimov, Isaac|Orbis|1957|Narrativa
La Invitada|Beauvoir, Simone de|Hermes|1943|Narrativa
Fahrenheit 451|Bradbury, Ray|Simon & Schuester|1951|Narrativa
Angels & Demons|Brown, Dan|Simon & Schuester|2000|Narrativa
El Código da Vinci|Brown, Dan|Umbriel|2004|Narrativa
El Extranjero|Camus, Albert|Alianza Emecé|1942|Narrativa
Balún-Canán|Castellanos, Rosario|SEP/UNAM|1957|Narrativa
Oficio de Tinieblas|Castellanos, Rosario|Promociones Editoriales Mexicanas|1979|Narrativa
Don Quijote de la Mancha|Cervantes, Miguel de|Asociación de Academias de la Lengua Española|1605|Narrativa
Cards on the Table|Christie, Agatha|Dell B.|1936|Narrativa
A Christmas Carol|Dickens, Charles|Longman|1843|Narrativa
Momo|Ende, Michael|Salvat/Alfaguara|1973|Narrativa
Como agua para chocolate|Esquivel, Laura|Planeta|1989|Narrativa
El periquillo sarniento|Fernández de Lizarde, José Joaquín|Porrúa|1816|Narrativa
Madame Bovary|Flaubert, Gustave|Flammarion|1856|Narrativa
Chacal|Forsyth, Frederick|G. F.|1971|Narrativa
Aura|Fuentes, Carlos|Era|1962|Narrativa
La Muerte de Artemio Cruz|Fuentes, Carlos|Punto de Lectura|1962|Narrativa
Santa|Gamboa, Federico|Porrúa|2013|Narrativa
Isabel viendo llover en Macondo|García Márquez, Gabriel|Estuario|1955|Narrativa
El coronel no tiene quien le escriba|García Márquez, Gabriel|Sudamericana|1961|Narrativa
Cien Años de Soledad|García Márquez, Gabriel|Asociación de Academias de la Lengua Española|1967|Narrativa
El Otoño del Patriarca|García Márquez, Gabriel|Plaza & Janes|1975|Narrativa
Noticia de un secuestro|García Márquez, Gabriel|Diana|1996|Narrativa
Memoria de mis putas tristes|García Márquez, Gabriel|Diana|2004|Narrativa
The Thief's Journal|Genet, Jean|Greenleaf|1965|Narrativa
Memorias de una Geisha|Golden, Arthur|Suma|1997|Narrativa
La chiquilla|González Peña, Carlos|Porrúa|1907|Narrativa
Trago Amargo|Haghenbeck, F. G.|Joaquín Mortiz|2006|Narrativa
A Farewell to Arms|Hemmingway, Ernest|Charles Scribner's Sons|1929|Narrativa
¿Por Quién Doblan las Campanas?|Hemmingway, Ernest|Epoca|1940|Narrativa
Islands in the Stream|Hemmingway, Ernest|Bantam|1970|Narrativa
Sumisión|Houellebecq, Michel|Anagrama|2015|Narrativa
Nuestra Señora de París|Hugo, Victor|Tor|1831|Narrativa
Les Miserables|Hugo, Victor|Baker & Taylor|1862|Narrativa
Un Mundo Feliz|Huxley, Aldoux|Leyenda|1932|Narrativa
Platero y yo|Jimenez, Juan Ramón|Epoca|1914|Narrativa
A Portrait of the Artist as a Young Man|Joyce, James|Penguin Books|1916|Narrativa
La Metamorfosis|Kafka, Franz|Losada|1915|Narrativa
La Vida Privada de la Mona Lisa|La Mure, Pierre|Argos Vergara|1979|Narrativa
El Dolor es un Triángulo Equilátero|Lazo, Norma|Cal y Arena|2005|Narrativa
Los banquetes y El corsario beige|Leduc, Renato|Fondo de Cultura Económica|1932|Narrativa
A fuerza de palabras|Leñero, Vicente|Fondo de Cultura Económica|1976|Narrativa
Los Periodistas|Leñero, Vicente|Joaquín Mortiz|1978|Narrativa
The Horse and his Boy|Lewis, C. S.|Harper-Collins|1954|Narrativa
El Descubrimiento de Filio Episteme|Lipman, Matthew|Centro Latinoamericano de Filosofía para Niños A. C.|2001|Narrativa
Las Yeguas Finas|Loaeza, Guadalupe|Planeta|2003|Narrativa
Las Yeguas Finas|Loaeza, Guadalupe|Planeta|2003|Narrativa
Por Medio de la Presente|Loaeza, Guadalupe|Planeta|2006|Narrativa
La Parcela|López Portillo y Rojas, José|Porrúa|1945|Narrativa
Wicked: the life and times of the Wicked Witch of the West|Maguire, Gregory|HarperCollins|1995|Narrativa
Son of a Witch|Maguire, Gregory|HarperCollins|2005|Narrativa
La Fin de la Nuit|Mauriac, François|Bernard Grasset|1935|Narrativa
Bella Tuscany|Mayes, Frances|Broadway Books|1999|Narrativa
De Victoria para Alejandro|Molina, Maria Isabel|Alfaguara|1990|Narrativa
Amor Perdido|Monsivais, Carlos|Departamento de Bellas Artes del Gobierno de Jalisco|1977|Narrativa
The Sherlockian|Moore, Graham|Hachette|2010|Narrativa
Kafka en la Orilla|Murakami, Haruki|TusQuets|2002|Narrativa
Lolita|Nabokov, Vladimir|Penguin Books|1955|Narrativa
Fugas|Navarrete, Wiliam|TusQuets|2014|Narrativa
Rebelión en la Granja|Orwell, George|Tomo|1945|Narrativa
Les choses|Perec, Georges|Julliard|1965|Narrativa
La Reina del Sur|Perez-Reverte, Arturo|Punto de Lectura|2002|Narrativa
Hasta no verte Jesús Mio|Poniatowska, Elena|Era|1969|Narrativa
Las Luces del Norte|Pullman, Phillip|Ediciones B|1995|Narrativa
El Catalejo Lacado|Pullman, Phillip|Ediciones B|2000|Narrativa
La Daga|Pullman, Phillip|Ediciones B|2005|Narrativa
El Padrino|Puzo, Mario|Grijalbo|1969|Narrativa
Los Borgia|Puzo, Mario|Planeta|2001|Narrativa
El Apando|Revueltas, José|Era|1975|Narrativa
Nadie me verá llorar|Rivera Garza, Cristina|TusQuets|1994|Narrativa
El Señor de las Termitas|Rodríguez, Sergio-Jesús|Acento|2001|Narrativa
Harry Potter y la Piedra Filosofal|Rowling, J. K.|Salamandra|1997|Narrativa
Harry Potter y Cámara Secreta|Rowling, J. K.|Salamandra|1998|Narrativa
Harry Potter y el Prisionero de Azkaban|Rowling, J. K.|Salamandra|1999|Narrativa
Harry Potter y el Cáliz de Fuego|Rowling, J. K.|Salamandra|2000|Narrativa
Harry Potter y la Orden del Fénix|Rowling, J. K.|Salamandra|2003|Narrativa
Harry Potter y el Misterio del Príncipe|Rowling, J. K.|Salamandra|2005|Narrativa
Harry Potter y las Reliquias de la Muerte|Rowling, J. K.|Salamandra|2007|Narrativa
Harry Potter and the Deadly Hallows|Rowling, J. K.|Scholastic|2007|Narrativa
El llano en llamas|Rulfo, Juan|rm|1953|Narrativa
Pedro Páramo|Rulfo, Juan|RM|1955|Narrativa
Una de dos|Sada, Daniel|TusQuets|2002|Narrativa
Flyte|Sage, Angie|HarperCollins|2006|Narrativa
El Principito|Saint-Exupéry, Antoine de|Grijalbo|1943|Narrativa
Historia del cerco de Lisboa|Saramago, José|Alfaguara|1989|Narrativa
El Evangelio Según Jesucristo|Saramago, José|Punto de Lectura|1991|Narrativa
Ensayo sobre la ceguera|Saramago, José|DeBolsillo|1995|Narrativa
Dr. Jekyll y Mr. Hyde|Stevenson, Louis|Tomo|1886|Narrativa
Drácula|Stoker, Bram|Leyenda|1897|Narrativa
Fuga, Hierro y Fuego|Taibo I, Paco Ignacio|Ediciones B|2005|Narrativa
Guerra y Paz - Vol. 1|Tolstoi, León|Bruguera|1869|Narrativa
Guerra y Paz - Vol. 2|Tolstoi, León|Bruguera|1869|Narrativa
El Señor de los Anillos - I. La comunidad del anillo|Tolkien, J. R. R.|Minotauro|1954|Narrativa
El Señor de los Anillos - II. Las dos torres|Tolkien, J. R. R.|Minotauro|1954|Narrativa
Niebla|Unamuno, Miguel de|Cátedra|1914|Narrativa
La Tía Julia y el Escribidor|Vargas Llosa, Mario|Seix Barral|1977|Narrativa
Ulises Criollo|Vasconcelos, José|Porrúa|1935|Narrativa
El Hombre Invisible|Wells, H. G.|Tomo|1897|Narrativa
Noche y Día|Woolf, Virginia|G. P. Ediciones|1919|Narrativa
Orlando|Woolf, Virginia|Hermes|1928|Narrativa
Las  Olas|Woolf, Virginia|Premia|1931|Narrativa
Al Filo del Agua|Yañez, Agustín|Porrúa|1947|Narrativa
La Hija del Puma|Zak, Monica|Piedra Santa|1986|Narrativa
Guilliver en el país de los enanos|Zweig, Stefan|Diana|1726|Narrativa
Veinticuatro Horas en la Vida de una  Mujer|Zweig, Stefan|Tomo|1927|Narrativa
Cuentamundos|Acosta, María, et al.|Macmillan/McGraw Hill|1997|Obra gráfica
La Vida de los Beatles en Imágenes|Dunne, John|Parragon|2011|Obra gráfica
Los Beatles: Historia Fotográfica|Dunne, John|Parragon|2011|Obra gráfica
Los Siete Mejores Cuentos Árabes|Escobar, Melba, et al.|Norma|2004|Obra gráfica
Arte y Arquitectura de Analucía|Hintzen-Bohlen, Brigitte|Könemann|2000|Obra gráfica
Los 7 colores de mi corazón|Inae, Kim, et al.|Ministry of Culture, Sports and Tourism|2016|Obra gráfica
Diario de Nueva York|Kuper, Peter|SextoPiso|2011|Obra gráfica
Mafalda Inédita|Quino|Ediciones de la Flor|2007|Obra gráfica
Fiestas de Yule|Ramírez Michel, Yolanda|Salto Mortal|2016|Obra gráfica
Cancionero y Romancero Español|Alonso, Damaso|Salvat|1969|Poesía
Poetry|Anónimo|Poetry Foundation|2013|Poesía
Las Flores del Mal|Baudelaire, Charles|Millenium|1857|Poesía
Obra Poética|Borges, Jorge Luis|Emecé|1964|Poesía
Los Vicios Cosméticos|Casillas, Ricardo|[Inédito]|2015|Poesía
Canto Malabar|Cross, Elsa|Fondo de Cultura Económica|1987|Poesía
Poesías completas de Sor Juana|Cruz, Sor Juana Inés de la|Época|1681|Poesía
Obras Completas|Cruz, Sor Juana Inés de la|Porrúa|1681|Poesía
Poesía erótica|Darío, Ruben|Hiperión|1916|Poesía
De lugar ninguno|eL eNe|Albatroz Press|2013|Poesía
Canciones|García Lorca, Federico|Junta de Andalucía|1921|Poesía
Romancero Gitano|García Lorca, Federico|Epoca|1928|Poesía
Romances|Góngora, Luis de|Rei México|1988|Poesía
Poesía|Manchado, Antonio|Bruguera|1981|Poesía
Corridos mexicanos|Mendoza, Vicente T.|Fondo de Cultura Económica|1965|Poesía
Nubes|Mendiola, Víctor Manuel|Fondo de Cultura Económica|1987|Poesía
Veinte Poemas de Amor y una Canción Desesperada - Cien Sonetos de Amor|Neruda, Pablo|Altaya|1924|Poesía
¿Águila o sol?|Paz, Octavio|Fondo de Cultura Económica|1951|Poesía
Poésies complètes|Rimbaud, Arthur|Gallimard|1895|Poesía
Fábulas Completas|Samaniego, Félix María|Editores Mexicanos Unidos|1781|Poesía
A concise treasury of Great Poems|Untermeyer, Louis, comp. |Permabooks|1953|Poesía
Bescherelle: la conjugaison pour tous|Arrivé, Michel|Hatier|2006|Referencia
Essential Dictionary|Burgess, Peter|Macmillan|2003|Referencia
Constitución Política de los Estados Unidos Mexicanos|Constitución Política de los Estados Unidos Mexicanos|McGraw Hill|1917|Referencia
Diccionario de Sinónimos y Antónimos|Larousse|Larousse|2006|Referencia
The Merriam-Webster Dictionary|Merriam-Webster|Merriam-Webster|2004|Referencia
Vox - Diccionario de Latin|Mir, Jose María, et al.|Biblograf|1964|Referencia
Diccionario de Nombres Propios|Tibón, Guiterre|Fondo de Cultura Económica|1956|Referencia
Las Mil y una Noches|Anónimo|Leyenda|0|Clásico
La Biblia|Anónimo|Verbo Divino|0|Clásico
Poema del Mio Cid|Anónimo|Porrúa|1200|Clásico
Arte Poética - Arte Retórica|Aristóteles|Porrúa|0|Clásico
Tratados de Lógica|Aristóteles|Porrúa|0|Clásico
Los milagros de Nuestra Señora - Vida de Santo Domingo de Silos - Vida de San Millán de la Cogolla - Vida de Santa Oria - Martirio de San Lorenzo|Berceo, Gonzalo de |Porrúa|2014|Clásico
El conde Lucanor|Don Juan Manuel|Porrúa|2013|Clásico
Tragedias: Los persas - Los siete contra Tebas - Las suplicantes - Agamenón - Las coéforas - Las euménides - Prometeo encadenado|Esquilo|Gredos|0|Clásico
Teogonía - Trabajos y días - Escudo - Fragmentos - Certámen|Hesíodo|Gredos|0|Clásico
Ilíada|Homero|Gredos|0|Clásico
Odisea|Homero|Gredos|0|Clásico
Diálogos I|Platón|Gredos|0|Clásico
Diálogos|Platón|Porrúa|0|Clásico
Libro de buen amor|Ruiz, Juan|Porrúa|2012|Clásico
Tragedias: Áyax - Las Tranquinias - Antígona - Edipo Rey - Electra - Filóctetes - Edipo en Colono|Sófocles|Gredos|0|Clásico
Tragedias completas|Sófocles|Catedra|0|Clásico
Vida de los doce Césares (Vol. II)|Suetonio|Gredos|121|Clásico
The Aeneid of Virgil|Virgil|Bantam|0|Clásico
Rayuela|Cortázar, Julio|Alfaguara|1963|Narrativa
Cristo de Nuevo Crucificado|Kazantzakis, Nikos|Alianza|1948|Narrativa
Las Partículas Elementales|Houllebeqc, Michel|Anagrama|1998|Narrativa
Después del Invierno|Nettel, Guadalupe|Anagrama|2014|Narrativa
Ninguna eternidad como la mia|Mastretta, Ángeles|Cal y Arena|1999|Narrativa
Asalto al Infierno|Borbolla, Óscar de la|Joaquín Mortiz|1993|Antología
Manual de Urbanidad y Buenas Costumbres|Carreño, Manuel Antonio|Nacional|1853|Expositivo
La fila india|Ortuño, Antonio|Océano|2013|Narrativa
On the road|Kerouac, Jack|Penguin Books|1955|Narrativa
Curso de Lingüística General|Saussure, Ferdinand de|Planeta|1916|Expositivo
El Futuro no Será de Nadie|Borbolla, Óscar de la|Plaza Janés|2011|Narrativa
Poema del Mio Cid|Anónimo|Porrúa|1200|Clásico
High Fidelity|Hornby, Nick|Riverhead Books|1995|Narrativa
Arráncame la vida|Mastretta, Ángeles|Seix Barral|1986|Narrativa
Introducción a la historia de la filosofía|Xirau, Ramón|UNAM|1964|Expositivo
Noticias del Imperio|Paso, Fernando del|Diana|1987|Narrativa
Language: an introduction to the study of speech|Sapir, Edward|Dover|1921|Expositivo
El mundo trágico de Sófocles|Segal, Charles|Gredos|1995|Expositivo
Ortega y Gasset - Meditaciones del Quijote, ¿Qué es la filosofía?, La rebelión de las masas|Ortega y Gasset, José|Gredos|2012|Expositivo